Name,Weight,Wins,Losses,Draws,Birth Date,Country,Weight Class,Age,Last Fight
Cameron Else,135 lbs.,10,6,0,1991-04-27,England,Bantamweight,34,02/11/2024
Aaron Ely,135 lbs.,5,2,0,1989-03-18,United States,Bantamweight,36,22/10/2022
Sovannahry Em,135 lbs.,3,1,0,1992-06-26,United States,Flyweight,32,29/01/2021
Ramazan Emeev,170 lbs.,20,6,0,1987-05-20,Russia,Welterweight,37,08/02/2025
Fedor Emelianenko,230 lbs.,36,5,0,1976-09-28,Russia,Heavyweight,48,04/02/2023
Jamall Emmers,145 lbs.,21,8,0,1989-07-24,United States,Featherweight,35,09/03/2024
Josh Emmett,145 lbs.,19,5,0,1985-03-04,United States,Featherweight,40,05/04/2025
Marius Enache,155 lbs.,3,3,0,1975-10-16,United States,Lightweight,49,23/10/2015
Kevin Engel,170 lbs.,5,1,0,1980-04-09,United States,Welterweight,45,16/04/2022
Oliver Enkamp,170 lbs.,7,2,0,1991-08-10,Sweden,Welterweight,33,12/05/2023
Ian Entwistle,135 lbs.,9,3,0,1986-11-19,England,Bantamweight,38,20/05/2022
Andy Enz,185 lbs.,10,4,0,1991-08-15,United States,Middleweight,33,31/01/2015
Konstantin Erokhin,230 lbs.,9,3,0,1983-01-02,Russia,Light Heavyweight,42,26/08/2023
Julian Erosa,145 lbs.,31,12,0,1989-07-31,United States,Featherweight,35,12/04/2025
Chel Erwin-Davis,170 lbs.,5,1,0,1986-07-10,United States,Welterweight,38,24/05/2019
Bobby Escalante,130 lbs.,5,6,0,1989-07-11,United States,Bantamweight,35,18/03/2017
Cole Escovedo,135 lbs.,17,9,0,1981-08-30,United States,Bantamweight,43,12/11/2011
Efrain Escudero,155 lbs.,28,12,0,1986-01-15,United States,Lightweight,39,25/07/2024
Carla Esparza,115 lbs.,20,8,0,1987-10-10,United States,Strawweight,37,05/10/2024
Juan Espino,255 lbs.,11,2,0,1980-10-09,Spain,Heavyweight,44,23/03/2024
Jordan Espinosa,125 lbs.,15,9,0,1989-11-08,United States,Flyweight,35,20/05/2022
Jodie Esquibel,115 lbs.,6,6,0,1986-05-07,United States,Strawweight,39,27/08/2021
Terry Etim,155 lbs.,16,5,0,1986-01-11,England,Lightweight,39,22/11/2013
Fred Ettish,180 lbs.,1,1,0,1955-10-12,United States,Middleweight,69,15/08/2009
Scott Ettling,135 lbs.,4,2,0,1992-07-17,United States,Featherweight,32,10/05/2024
Sijara Eubanks,125 lbs.,8,7,0,1985-04-27,United States,Flyweight,40,18/12/2021
Rashad Evans,205 lbs.,19,8,1,1979-09-25,United States,Light Heavyweight,45,28/01/2022
Ashlee Evans-Smith,135 lbs.,6,6,0,1987-07-09,United States,Bantamweight,37,15/07/2023
Dan Evensen,250 lbs.,11,4,0,1974-06-01,Norway,Heavyweight,50,01/05/2009
Tonya Evinger,135 lbs.,19,8,0,1981-06-04,United States,Bantamweight,43,01/06/2019
Movsar Evloev,145 lbs.,19,0,0,1994-02-11,Russia,Featherweight,31,07/12/2024
Andre Ewell,145 lbs.,17,9,0,1988-01-21,United States,Bantamweight,37,23/02/2024
Neal Ewing,185 lbs.,6,0,0,1985-09-30,United States,Middleweight,39,27/03/2015
Jessica Eye,125 lbs.,15,11,0,1986-07-27,United States,Flyweight,38,02/07/2022
Edward Faaloloto,155 lbs.,2,5,0,1985-07-15,United States,Welterweight,39,28/07/2013
Urijah Faber,135 lbs.,35,11,0,1979-05-14,United States,Bantamweight,45,02/08/2024
Melinda Fabian,125 lbs.,4,4,2,1987-06-25,Hungary,Flyweight,37,15/12/2023
Wagnney Fabiano,145 lbs.,16,4,0,1975-07-14,Brazil,Featherweight,49,21/12/2014
Bartosz Fabinski,170 lbs.,15,5,0,1986-04-26,Poland,Middleweight,39,20/01/2024
Ron Faircloth,205 lbs.,33,20,0,1979-08-16,United States,Light Heavyweight,45,28/05/2011
Jason Fairn,230 lbs.,4,5,0,1973-07-16,Canada,Heavyweight,51,06/03/2010
Maiquel Falcao,185 lbs.,37,10,0,1981-03-08,Brazil,Light Heavyweight,44,16/10/2021
Brodie Farber,170 lbs.,16,7,0,1980-06-05,United States,Light Heavyweight,44,01/09/2018
Joao Paulo Faria,155 lbs.,1,1,0,1980-07-23,Brazil,Lightweight,44,15/11/2014
Kalindra Faria,125 lbs.,18,8,1,1986-07-23,Brazil,Flyweight,38,22/02/2025
Kelly Faszholz,135 lbs.,4,2,0,1984-04-09,United States,Bantamweight,41,20/05/2017
Paul Felder,155 lbs.,17,6,0,1985-04-25,United States,Lightweight,40,14/11/2020
Carlos Felipe,245 lbs.,11,2,0,1995-01-12,Brazil,Heavyweight,30,02/11/2024
Kevin Ferguson,235 lbs.,5,2,0,1974-02-08,United States,Heavyweight,51,27/04/2019
Tony Ferguson,170 lbs.,26,11,0,1984-02-12,United States,Lightweight,41,03/08/2024
Josh Ferguson,125 lbs.,10,5,0,1988-05-13,United States,Flyweight,36,01/02/2020
Cj Fernandes,170 lbs.,14,8,3,1977-11-13,United States,Welterweight,47,23/01/2009
Bibiano Fernandes,139 lbs.,20,3,0,1980-03-30,Brazil,Featherweight,45,20/02/2025
Alexandre Ferreira,205 lbs.,18,6,0,1979-04-25,Brazil,Light Heavyweight,46,13/11/2010
Cezar Ferreira,185 lbs.,13,8,0,1985-02-15,Brazil,Light Heavyweight,40,14/04/2023
Diego Ferreira,155 lbs.,19,6,0,1985-01-18,Brazil,Lightweight,40,18/01/2025
Scott Ferrozzo,323 lbs.,4,2,0,1965-04-26,United States,Super Heavyweight,60,07/02/1997
Andre Fialho,170 lbs.,16,8,0,1994-04-07,Portugal,Welterweight,31,18/05/2024
Drew Fickett,155 lbs.,42,21,0,1979-12-24,United States,Lightweight,45,13/05/2023
Scott Fiedler,235 lbs.,0,1,0,,United States,Heavyweight,,12/07/1996
Deiveson Figueiredo,135 lbs.,24,5,1,1987-12-18,Brazil,Flyweight,37,03/05/2025
Francisco Figueiredo,125 lbs.,13,5,1,1989-10-23,Brazil,Flyweight,35,26/04/2025
Edwin Figueroa,135 lbs.,9,5,0,1984-07-31,United States,Bantamweight,40,24/06/2016
Andre Fili,145 lbs.,24,12,0,1990-06-25,United States,Featherweight,34,22/02/2025
Mirko Filipovic,230 lbs.,35,11,2,1974-09-10,Croatia,Heavyweight,50,16/02/2019
Luigi Fioravanti,170 lbs.,26,15,0,1981-01-22,United States,Middleweight,44,04/12/2015
Nick Fiore,155 lbs.,6,2,0,1997-12-10,United States,Lightweight,27,08/02/2025
Manon Fiorot,125 lbs.,12,1,0,1990-02-17,France,Flyweight,35,30/03/2024
Spencer Fisher,155 lbs.,24,9,0,1976-05-09,United States,Lightweight,49,22/06/2012
Chris Fishgold,145 lbs.,18,4,1,1992-06-06,England,Lightweight,32,09/07/2023
Bryanna Fissori,145 lbs.,2,4,0,1985-03-03,United States,Bantamweight,40,21/09/2019
Jon Fitch,170 lbs.,30,7,1,1978-02-24,United States,Welterweight,47,04/03/2023
Rafael Fiziev,155 lbs.,12,4,0,1993-03-05,Kyrgyzstan,Lightweight,32,08/03/2025
Colin Fletcher,155 lbs.,14,8,0,1983-01-08,England,Welterweight,42,09/03/2018
Jimmy Flick,125 lbs.,17,9,0,1990-09-07,United States,Flyweight,34,26/04/2025
Kenny Florian,145 lbs.,14,6,0,1976-05-26,United States,Featherweight,48,08/10/2011
Bobby Flynn,170 lbs.,6,4,0,,United States,Welterweight,,23/09/2023
Caros Fodor,155 lbs.,11,6,0,1984-01-07,United States,Lightweight,41,30/06/2017
Rob Font,135 lbs.,22,8,0,1987-06-25,United States,Bantamweight,37,22/02/2025
Jesse Forbes,185 lbs.,15,5,0,1984-10-24,United States,Middleweight,40,10/12/2010
Codale Ford,170 lbs.,11,9,0,1979-05-13,United States,Welterweight,45,01/02/2019
Jussier Formiga,125 lbs.,23,8,0,1985-04-14,Brazil,Flyweight,40,11/02/2022
Renee Forte,155 lbs.,8,4,0,1987-03-27,Brazil,Lightweight,38,15/03/2014
Marcel Fortuna,205 lbs.,9,3,0,1985-10-22,Brazil,Light Heavyweight,39,18/09/2021
Brian Foster,170 lbs.,27,10,0,1984-04-04,United States,Lightweight,41,16/02/2019
Xavier Foupa-Pokam,185 lbs.,32,22,0,1982-03-07,France,Middleweight,43,11/06/2016
Mason Fowler,170 lbs.,2,0,0,,United States,Welterweight,,15/05/2024
Hermes Franca,155 lbs.,24,17,0,1974-08-26,Brazil,Welterweight,50,22/08/2015
Francisco France,205 lbs.,13,5,1,1983-01-21,United States,Middleweight,42,18/02/2017
Rich Franklin,185 lbs.,29,7,0,1974-10-05,United States,Middleweight,50,10/11/2012
Zoila Frausto,135 lbs.,13,5,0,1983-12-10,United States,Bantamweight,41,07/12/2013
Stephanie Frausto,115 lbs.,8,7,0,1990-09-20,United States,Strawweight,34,12/08/2021
Zane Frazier,250 lbs.,4,11,0,1966-07-16,United States,Heavyweight,58,26/01/2008
Justin Frazier,265 lbs.,10,3,0,1989-06-15,United States,Super Heavyweight,35,22/06/2019
Ian Freeman,225 lbs.,20,7,1,1970-12-31,England,Light Heavyweight,54,27/07/2013
Willamy Freire,155 lbs.,26,6,0,1987-07-28,Brazil,Lightweight,37,07/11/2013
Patricio Freire,145 lbs.,36,8,0,1987-07-07,Brazil,Featherweight,37,12/04/2025
Patricky Freire,155 lbs.,17,8,0,1986-01-21,Brazil,Lightweight,39,21/06/2024
Josh Fremd,185 lbs.,11,6,0,1994-01-15,United States,Middleweight,31,13/07/2024
Matt Frevola,155 lbs.,11,5,1,1990-06-11,United States,Lightweight,34,28/09/2024
Jinh Yu Frey,115 lbs.,11,10,0,1985-05-20,United States,Strawweight,39,21/10/2023
Sarah Frota,125 lbs.,9,2,0,1987-04-14,Brazil,Strawweight,38,04/11/2023
Don Frye,219 lbs.,20,9,1,1965-11-23,United States,Heavyweight,59,11/12/2011
Tony Fryklund,185 lbs.,14,9,1,1971-03-26,United States,Lightweight,54,28/03/2013
Katsuhisa Fujii,205 lbs.,9,18,1,1972-08-15,Japan,Heavyweight,52,28/02/2010
Megumi Fujii,113 lbs.,26,3,0,1974-04-26,Japan,Strawweight,51,05/10/2013
Riki Fukuda,185 lbs.,24,9,0,1981-01-06,Japan,Middleweight,44,15/07/2017
Masio Fullen,145 lbs.,11,7,0,1987-10-06,Mexico,Featherweight,37,22/05/2022
Travis Fulton,240 lbs.,253,53,10,1977-05-29,United States,Light Heavyweight,47,30/11/2019
Sam Fulton,265 lbs.,0,2,0,,United States,Heavyweight,,27/07/1997
Ricardo Funch,170 lbs.,9,6,0,1980-08-14,United States,Welterweight,44,30/07/2016
Claudia Gadelha,115 lbs.,18,5,0,1988-12-07,Brazil,Strawweight,36,07/11/2020
Justin Gaethje,155 lbs.,26,5,0,1988-11-14,United States,Lightweight,36,08/03/2025
Sheila Gaff,135 lbs.,9,7,0,1989-12-29,Germany,Flyweight,35,23/02/2019
Muin Gafurov,135 lbs.,20,6,0,1996-05-17,Tajikistan,Bantamweight,28,18/01/2025
Mitch Gagnon,135 lbs.,12,5,0,1984-10-10,Canada,Bantamweight,40,04/05/2019
Dave Galera,135 lbs.,5,1,0,,Philippines,Bantamweight,,04/01/2014
Zelg Galesic,185 lbs.,11,9,0,1979-02-16,Croatia,Light Heavyweight,46,12/07/2014
Mickey Gall,170 lbs.,7,7,0,1992-01-22,United States,Welterweight,33,16/11/2024
Daniel Gallemore,265 lbs.,7,3,0,1985-06-14,United States,Heavyweight,39,09/04/2021
Tom Gallicchio,170 lbs.,19,10,0,1986-09-23,United States,Welterweight,38,06/06/2021
Marcos Galvao,135 lbs.,18,8,1,1982-06-23,Brazil,Bantamweight,42,05/04/2019
Joey Gambino,145 lbs.,9,2,0,1988-10-26,United States,Featherweight,36,13/10/2012
Mateusz Gamrot,155 lbs.,24,3,0,1990-12-11,Poland,Lightweight,34,17/08/2024
Shamil Gamzatov,205 lbs.,14,1,0,1990-08-09,Russia,Light Heavyweight,34,22/02/2025
Ciryl Gane,245 lbs.,13,2,0,1990-05-06,France,Heavyweight,35,07/12/2024
Sean Gannon,265 lbs.,2,1,0,,United States,Heavyweight,,04/10/2005
Cody Garbrandt,135 lbs.,14,6,0,1991-07-07,United States,Bantamweight,33,13/04/2024
Leonard Garcia,145 lbs.,18,13,1,1979-07-14,United States,Featherweight,45,31/03/2018
Edgar Garcia,170 lbs.,14,5,0,1984-02-22,United States,Welterweight,41,29/07/2016
Alejandro Garcia,145 lbs.,14,10,0,1980-10-20,United States,Bantamweight,44,02/12/2023
Alex Garcia,170 lbs.,15,6,0,1987-07-14,Canada,Welterweight,37,18/05/2019
Nick Garcia,125 lbs.,8,3,0,,United States,Flyweight,,15/06/2013
Steve Garcia,145 lbs.,17,5,0,1992-05-22,United States,Featherweight,32,07/09/2024
Elias Garcia,125 lbs.,6,2,0,1992-09-13,United States,Flyweight,32,07/09/2019
Rafa Garcia,155 lbs.,17,4,0,1994-08-05,Mexico,Lightweight,30,29/03/2025
Pablo Garza,145 lbs.,12,4,0,1983-09-16,United States,Featherweight,41,06/12/2014
Azamat Gashimov,125 lbs.,8,3,0,1990-04-07,Russia,Bantamweight,35,18/05/2013
Brian Gassaway,170 lbs.,29,20,2,1972-08-07,United States,Welterweight,52,29/06/2013
Kelvin Gastelum,185 lbs.,20,9,0,1991-10-24,United States,Middleweight,33,22/06/2024
Willie Gates,125 lbs.,12,7,0,1987-01-21,United States,Bantamweight,38,03/12/2016
Melissa Gatto,135 lbs.,9,2,2,1996-05-02,Brazil,Flyweight,29,18/05/2024
Louis Gaudinot,125 lbs.,8,4,0,1984-08-28,United States,Flyweight,40,14/06/2019
Chad George,135 lbs.,16,8,0,1982-04-30,United States,Bantamweight,43,13/04/2019
Paul Georgieff,170 lbs.,6,2,0,1982-09-22,United States,Lightweight,42,07/12/2007
Brian Geraghty,155 lbs.,26,18,1,1980-11-04,United States,Lightweight,44,13/03/2010
Karine Gevorgyan,125 lbs.,3,3,0,1989-03-09,Armenia,Bantamweight,36,04/11/2017
Tiki Ghosn,170 lbs.,10,7,1,1977-02-09,United States,Welterweight,48,03/06/2011
Christos Giagos,155 lbs.,20,12,0,1990-01-23,United States,Lightweight,35,06/04/2024
Joe Giannetti,155 lbs.,6,1,0,1995-07-05,United States,Lightweight,29,15/03/2024
James Giboo,170 lbs.,13,5,0,1978-06-01,United States,Welterweight,46,19/04/2008
Lance Gibson,185 lbs.,4,5,0,1970-11-20,Canada,Middleweight,54,10/11/2001
Cody Gibson,135 lbs.,22,11,0,1987-09-11,United States,Bantamweight,37,15/03/2025
Thomas Gifford,155 lbs.,14,9,0,1992-07-26,United States,Lightweight,32,05/02/2022
Joey Gilbert,155 lbs.,2,3,0,1970-04-14,United States,Lightweight,55,27/10/2001
Trevin Giles,170 lbs.,16,7,0,1992-08-06,United States,Middleweight,32,02/11/2024
Gregor Gillespie,155 lbs.,14,1,0,1987-03-18,United States,Lightweight,38,08/05/2021
Jason Gilliam,170 lbs.,14,9,0,1972-10-31,United States,Welterweight,52,15/04/2017
Bob Gilstrap,200 lbs.,5,7,0,1974-07-16,United States,Heavyweight,50,06/09/2014
Billy Giovanella,125 lbs.,9,5,0,1985-08-20,United States,Flyweight,39,02/11/2018
Israel Giron,155 lbs.,19,5,0,1974-01-16,Mexico,Lightweight,51,18/06/2016
Brandon Girtz,155 lbs.,14,7,0,1985-03-06,United States,Lightweight,40,25/10/2024
Jason Glaza,230 lbs.,3,2,0,,United States,Heavyweight,,28/11/2015
Ricky Glenn,170 lbs.,22,9,2,1989-04-12,United States,Lightweight,36,17/08/2024
Mark Godbeer,240 lbs.,13,4,0,1983-11-22,England,Heavyweight,41,10/06/2022
Jason Godsey,230 lbs.,16,16,0,1964-01-01,United States,Heavyweight,61,06/05/2006
Allan Goes,205 lbs.,10,5,2,1971-04-20,United States,Light Heavyweight,54,01/06/2007
Hannah Goldy,115 lbs.,6,4,0,1992-05-18,United States,Strawweight,32,12/04/2024
Marcelo Golm,249 lbs.,6,3,0,1992-09-15,Brazil,Heavyweight,32,13/06/2024
David Gomez,155 lbs.,1,2,0,1980-11-08,United States,Middleweight,44,16/12/2023
Ulysses Gomez,125 lbs.,9,5,0,1983-05-25,United States,Flyweight,41,12/09/2014
Joey Gomez,155 lbs.,7,1,0,1989-08-29,United States,Lightweight,35,04/03/2022
Takanori Gomi,155 lbs.,35,14,0,1978-09-22,Japan,Lightweight,46,23/06/2024
Akihiro Gono,170 lbs.,35,21,8,1974-10-07,Japan,Welterweight,50,26/04/2025
Gabriel Gonzaga,242 lbs.,17,11,0,1979-05-18,Brazil,Heavyweight,45,11/06/2022
Justin Gonzales,145 lbs.,6,0,0,1991-04-28,United States,Featherweight,34,28/06/2024
Fernando Gonzalez,170 lbs.,26,14,0,1983-09-15,United States,Welterweight,41,12/07/2024
Nick Gonzalez,155 lbs.,17,12,0,1981-03-03,United States,Lightweight,44,09/11/2018
Fabian Gonzalez,135 lbs.,2,1,0,,United States,Bantamweight,,16/01/2015
Lewis Gonzalez,170 lbs.,11,3,0,1987-09-19,United States,Middleweight,37,22/08/2022
Jason Gonzalez,155 lbs.,11,5,0,1990-02-28,United States,Lightweight,35,27/04/2019
Pearl Gonzalez,115 lbs.,6,3,0,1986-08-12,United States,Flyweight,38,31/05/2024
Lyman Good,170 lbs.,21,6,0,1985-05-26,United States,Welterweight,39,20/06/2020
Jared Gooden,170 lbs.,23,10,0,1993-12-05,United States,Welterweight,31,29/03/2025
Gary Goodridge,249 lbs.,23,22,1,1966-01-17,Canada,Heavyweight,59,17/12/2010
Gerard Gordeau,216 lbs.,2,2,0,1955-03-30,Netherlands,Heavyweight,70,07/02/1995
Eddie Gordon,185 lbs.,8,4,0,1983-07-22,United States,Welterweight,41,13/05/2023
Jared Gordon,155 lbs.,20,7,0,1988-09-06,United States,Lightweight,36,20/04/2024
Malcolm Gordon,125 lbs.,14,8,0,1990-05-19,Canada,Flyweight,34,10/02/2024
Alex Gorgees,155 lbs.,6,1,0,1995-08-11,Australia,Lightweight,29,23/02/2019
Tim Gorman,135 lbs.,9,4,0,1983-04-29,United States,Bantamweight,42,25/10/2014
Chase Gormley,265 lbs.,14,6,0,1983-08-11,United States,Heavyweight,41,04/10/2019
Jonathan Goulet,170 lbs.,23,12,0,1979-07-13,Canada,Welterweight,45,21/10/2010
Thibault Gouti,155 lbs.,12,5,0,1987-02-27,France,Lightweight,38,17/06/2023
Wilson Gouveia,185 lbs.,14,8,0,1978-10-03,United States,Heavyweight,46,07/05/2011
Justin Governale,145 lbs.,5,5,0,1986-03-06,United States,Featherweight,39,14/05/2022
Damian Grabowski,241 lbs.,20,5,0,1980-05-12,Poland,Heavyweight,44,13/09/2019
Royce Gracie,175 lbs.,15,2,3,1966-12-12,Brazil,Middleweight,58,19/02/2016
Daniel Gracie,225 lbs.,5,4,1,1972-06-28,Brazil,Light Heavyweight,52,14/05/2011
Renzo Gracie,185 lbs.,13,7,1,1967-03-11,Brazil,Welterweight,58,22/07/2018
Ralek Gracie,210 lbs.,3,1,0,1985-10-04,United States,Light Heavyweight,39,21/01/2017
Rolles Gracie,242 lbs.,8,4,0,1978-07-14,Brazil,Heavyweight,46,23/05/2015
Roger Gracie,185 lbs.,8,2,0,1981-09-26,Brazil,Middleweight,43,06/05/2016
Igor Gracie,170 lbs.,5,4,0,1980-02-04,Brazil,Welterweight,45,23/03/2013
Neiman Gracie,170 lbs.,6,0,0,1988-12-12,United States,Welterweight,36,23/08/2024
Kron Gracie,145 lbs.,5,3,0,1988-07-11,Brazil,Featherweight,36,07/12/2024
Steven Graham,290 lbs.,2,1,0,1991-01-19,United States,Super Heavyweight,34,30/05/1997
Miranda Granger,115 lbs.,7,3,0,1992-04-13,United States,Strawweight,33,06/08/2022
Davey Grant,135 lbs.,16,7,0,1985-12-18,England,Bantamweight,39,14/12/2024
Dwight Grant,185 lbs.,11,6,0,1984-09-14,United States,Welterweight,40,28/02/2025
Alexa Grasso,125 lbs.,16,4,1,1993-08-09,Mexico,Flyweight,31,14/09/2024
Tony Gravely,135 lbs.,23,9,0,1991-09-28,United States,Bantamweight,33,11/03/2023
Michael Graves,170 lbs.,6,0,1,1991-01-08,United States,Welterweight,34,20/10/2017
Desmond Green,155 lbs.,23,8,0,1989-10-11,United States,Lightweight,35,16/06/2023
Maurice Greene,258 lbs.,9,7,0,1986-07-05,United States,Heavyweight,38,22/03/2025
Matt Grice,145 lbs.,15,5,0,1981-07-29,United States,Featherweight,43,23/02/2013
Forrest Griffin,205 lbs.,19,7,0,1979-07-01,United States,Light Heavyweight,45,07/07/2012
Tyson Griffin,145 lbs.,16,8,0,1984-04-20,United States,Lightweight,41,24/08/2018
Max Griffin,170 lbs.,20,11,0,1985-11-29,United States,Welterweight,39,07/12/2024
Jordan Griffin,145 lbs.,18,9,0,1990-02-23,United States,Featherweight,35,13/01/2024
Chad Griggs,205 lbs.,11,3,0,1978-05-15,United States,Light Heavyweight,46,17/11/2012
Maxim Grishin,205 lbs.,32,10,2,1984-05-02,Russia,Heavyweight,41,15/12/2024
Josh Grispi,145 lbs.,14,5,0,1988-10-14,United States,Featherweight,36,16/02/2013
Garrett Gross,155 lbs.,11,7,0,1988-08-08,United States,Lightweight,36,27/02/2021
Kendall Grove,185 lbs.,23,17,0,1982-11-12,United States,Middleweight,42,21/01/2023
Neil Grove,265 lbs.,12,8,1,1971-08-01,England,Heavyweight,53,27/09/2014
Chris Gruetzemacher,155 lbs.,15,5,0,1986-06-16,United States,Lightweight,38,04/12/2021
Vik Grujic,170 lbs.,6,6,0,1977-02-06,Australia,Welterweight,48,28/01/2017
Mike Grundy,145 lbs.,12,4,0,1987-03-01,England,Featherweight,38,30/09/2023
Nandor Guelmino,230 lbs.,11,5,1,1975-12-20,Austria,Heavyweight,49,20/01/2018
Shannon Gugerty,155 lbs.,15,7,0,1981-12-30,United States,Featherweight,43,21/07/2012
Clay Guida,155 lbs.,38,22,0,1981-12-08,United States,Lightweight,43,07/12/2024
Jason Guida,214 lbs.,19,28,0,1977-08-04,United States,Heavyweight,47,28/05/2022
Melvin Guillard,155 lbs.,32,18,2,1983-03-30,United States,Welterweight,42,17/10/2019
Marcelo Guimaraes,185 lbs.,9,2,1,1983-06-25,Brazil,Middleweight,41,05/03/2016
Leonardo Guimaraes,185 lbs.,11,5,0,1982-04-15,Brazil,Light Heavyweight,43,14/12/2024
Brad Gumm,170 lbs.,10,6,1,,United States,Welterweight,,13/08/2004
John Gunderson,155 lbs.,35,16,2,1979-01-05,United States,Featherweight,46,06/06/2014
John Gunther,155 lbs.,5,1,0,1985-11-24,United States,Lightweight,39,10/11/2018
Jorge Gurgel,155 lbs.,14,10,0,1977-01-25,United States,Lightweight,48,28/02/2014
Fabio Gurgel,205 lbs.,3,2,0,1970-01-18,Brazil,Light Heavyweight,55,19/10/2013
Andre Gusmao,205 lbs.,6,3,0,1977-05-19,Brazil,Middleweight,47,15/04/2011
Alexander Gustafsson,205 lbs.,18,8,0,1987-01-15,Sweden,Heavyweight,38,23/07/2022
Justin Guthrie,170 lbs.,18,9,0,1981-01-19,United States,Welterweight,44,21/05/2016
Horacio Gutierrez,145 lbs.,4,3,0,1990-09-15,Mexico,Featherweight,34,13/12/2019
Chris Gutierrez,135 lbs.,22,6,2,1991-04-22,United States,Featherweight,34,26/04/2025
Keith Hackney,200 lbs.,2,2,0,1958-04-15,United States,Light Heavyweight,67,16/12/1995
Jake Hadley,135 lbs.,11,4,0,1996-08-03,England,Flyweight,28,11/04/2025
Damir Hadzovic,155 lbs.,14,8,0,1986-08-08,Bosnia And Herzegovina,Lightweight,38,01/02/2025
Tim Hague,260 lbs.,21,13,0,1983-09-05,Canada,Heavyweight,41,15/07/2016
Stoney Hale,185 lbs.,5,3,0,1979-10-18,United States,Middleweight,45,03/07/2015
Kevin Haley,205 lbs.,6,4,0,1982-08-24,United States,Light Heavyweight,42,26/07/2019
Mark Hall,190 lbs.,5,6,0,1961-03-03,United States,Light Heavyweight,64,06/10/2001
Uriah Hall,185 lbs.,18,11,0,1984-07-31,Jamaica,Middleweight,40,02/07/2022
Ryan Hall,145 lbs.,9,2,0,1985-02-22,United States,Featherweight,40,11/12/2021
Dennis Hallman,155 lbs.,53,20,2,1975-12-02,United States,Middleweight,49,19/11/2015
Piotr Hallmann,155 lbs.,18,6,0,1987-08-25,Poland,Lightweight,37,08/02/2025
Tony Halme,300 lbs.,0,4,0,1963-01-06,Finland,Super Heavyweight,62,30/05/1997
Brandon Halsey,185 lbs.,9,3,0,1986-09-16,United States,Middleweight,38,31/12/2018
John Halverson,155 lbs.,16,8,0,1972-09-08,United States,Lightweight,52,03/08/2012
Seo Hee Ham,115 lbs.,17,8,0,1987-03-08,South Korea,Strawweight,38,29/09/2023
Frank Hamaker,265 lbs.,1,0,0,,Netherlands,Heavyweight,,11/03/1994
Matt Hamill,205 lbs.,12,8,0,1976-10-05,United States,Light Heavyweight,48,14/04/2018
Anthony Hamilton,260 lbs.,15,9,0,1980-04-14,United States,Heavyweight,45,11/03/2022
Jared Hamman,185 lbs.,14,6,0,1982-03-07,United States,Light Heavyweight,43,11/10/2014
James Hammortree,185 lbs.,6,3,0,1986-06-25,United States,Light Heavyweight,38,28/04/2012
Dean Hancock,155 lbs.,2,1,0,,United States,Lightweight,,17/03/2022
Kay Hansen,115 lbs.,7,6,0,1999-08-14,United States,Strawweight,25,28/06/2024
Nasrat Haqparast,155 lbs.,18,5,0,1995-08-22,Afghanistan,Lightweight,29,01/03/2025
Janay Harding,135 lbs.,2,3,0,1994-09-28,Australia,Featherweight,30,16/09/2023
Antoni Hardonk,245 lbs.,8,6,0,1976-02-05,Netherlands,Heavyweight,49,24/10/2009
George Hardwick,155 lbs.,12,2,0,1996-12-06,England,Lightweight,28,21/03/2025
Dan Hardy,170 lbs.,25,10,0,1982-05-17,England,Welterweight,42,29/09/2012
Greg Hardy,265 lbs.,7,5,0,1988-07-28,United States,Heavyweight,36,05/03/2022
Gerald Harris,185 lbs.,23,5,0,1979-11-19,United States,Welterweight,45,23/11/2019
Phil Harris,125 lbs.,22,12,0,1983-04-09,England,Flyweight,42,23/03/2024
Walt Harris,250 lbs.,13,10,0,1983-06-10,United States,Heavyweight,41,05/06/2021
Collin Hart,185 lbs.,6,3,1,1989-10-12,United States,Middleweight,35,01/06/2019
Dale Hartt,155 lbs.,6,3,0,1979-04-04,United States,Lightweight,46,18/06/2010
Clay Harvison,170 lbs.,13,6,0,1980-09-25,United States,Welterweight,44,12/10/2019
Chris Haseman,205 lbs.,20,17,0,1969-06-02,Australia,Light Heavyweight,55,23/11/2002
Hayder Hassan,170 lbs.,6,3,0,1982-10-20,United States,Welterweight,42,14/12/2019
John Hathaway,170 lbs.,17,2,0,1987-07-01,England,Welterweight,37,17/06/2023
Phil Hawes,185 lbs.,12,6,0,1989-01-08,United States,Middleweight,36,13/01/2024
Tommy Hayden,145 lbs.,11,3,0,1986-03-11,United States,Lightweight,39,04/11/2017
Mike Hayes,230 lbs.,20,12,2,1980-10-16,United States,Heavyweight,44,06/08/2016
Josh Haynes,170 lbs.,14,11,0,1977-07-30,United States,Light Heavyweight,47,27/08/2010
Dustin Hazelett,170 lbs.,12,7,0,1986-04-29,United States,Lightweight,39,11/12/2010
James Head,170 lbs.,9,4,0,1984-02-09,United States,Welterweight,41,28/08/2013
Pat Healy,155 lbs.,34,23,0,1983-07-20,United States,Lightweight,41,12/05/2019
Ryan Healy,155 lbs.,25,14,1,1983-07-20,United States,Lightweight,41,31/05/2020
David Heath,205 lbs.,18,7,0,1976-10-02,United States,Light Heavyweight,48,08/12/2012
Chris Heatherly,155 lbs.,9,4,0,1987-11-24,United States,Middleweight,37,24/06/2016
